,price,volume,std,sec,min_start,max_start,end,sl,mid,down,prev_end,next_sl,implied_prob
7,435.3454545454545,3940634.0,0.7859491076472753,TATN,430.7859491076473,431.6036363636364,434.81090909090904,428.42810178470546,430.0,427.77272727272725,,433.77355633016,0.4334598897020404
8,439.3545454545455,4617209.0,0.7859491076472753,TATN,436.1314036531018,436.5481818181818,438.9536363636364,433.77355633016,435.3454545454545,430.0,434.81090909090904,437.78264723925093,0.49540477925002363
9,443.3636363636364,3002042.0,0.7859491076472753,TATN,440.14049456219277,440.55727272727273,442.9627272727273,437.78264723925093,439.3545454545455,435.3454545454545,438.9536363636364,441.79173814834184,0.49540477925001813
10,454.5,0.0,0.7859491076472753,TATN,444.1495854712837,446.70454545454544,453.3863636363636,441.79173814834184,443.3636363636364,439.3545454545455,442.9627272727273,,0.31353555303087133
0,14824.0,0.0,14.656189429051704,GKU2,,,,,,,,11859.2,
1,14964.636363636364,17732.5,14.656189429051704,GKU2,14838.656189429052,14866.190909090908,14950.572727272727,11859.2,14824.0,0,,14935.32398477826,0.9682506165798596
2,15022.545454545454,17285.5,14.656189429051704,GKU2,14979.292553065416,14982.00909090909,15016.754545454545,14935.32398477826,14964.636363636364,14824.0,14950.572727272727,14993.23307568735,0.5566317710764853
3,15080.454545454546,22955.5,14.656189429051704,GKU2,15037.201643974506,15039.918181818182,15074.663636363637,14993.23307568735,15022.545454545454,14964.636363636364,15016.754545454545,15051.142166596443,0.5566317710764953
4,15245.90909090909,32641.0,14.656189429051704,GKU2,15095.110734883598,15130.09090909091,15229.363636363636,15051.142166596443,15080.454545454546,15022.545454545454,15074.663636363637,15212.818181818182,0.34484428543369244
5,15361.727272727272,48225.0,14.656189429051704,GKU2,15260.565280338142,15280.654545454545,15350.145454545454,15212.818181818182,15245.90909090909,15080.454545454546,15229.363636363636,,0.4208321473982364
6,15403.09090909091,46546.0,14.656189429051704,GKU2,,,,,15361.727272727272,15245.90909090909,15350.145454545454,15373.778530232807,
7,15643.0,0.0,14.656189429051704,GKU2,15417.747098519962,15475.063636363637,15619.00909090909,15373.778530232807,15403.09090909091,15361.727272727272,,,0.2961573672086633
0,59581.0,0.0,31.640655258910854,SiU2,,,,,,,,47664.8,
1,59981.121212121216,1126544.0,31.640655258910854,SiU2,59612.64065525891,59701.03636363636,59941.10909090909,47664.8,59581.0,0,,59901.09696969697,0.9768439700111524
2,60147.83838383838,1312381.0,31.640655258910854,SiU2,60012.761867380126,60031.13636363637,60131.166666666664,59901.09696969697,59981.121212121216,59581.0,59941.10909090909,60084.55707332056,0.5252849349699448
3,60681.333333333336,1011552.0,31.640655258910854,SiU2,60179.47903909729,60307.88686868687,60627.98383838384,60084.55707332056,60147.83838383838,59981.121212121216,60131.166666666664,60574.63434343434,0.2928193655551514
4,61081.454545454544,2062040.0,31.640655258910854,SiU2,60712.973988592246,60801.3696969697,61041.44242424242,60574.63434343434,60681.333333333336,60147.83838383838,60627.98383838384,61001.430303030305,0.39103328937802356
5,61481.57575757576,2473276.5,31.640655258910854,SiU2,61113.095200713455,61201.490909090906,61441.56363636364,61001.430303030305,61081.454545454544,60681.333333333336,61041.44242424242,61401.551515151514,0.3541262160069962
6,62148.444444444445,3560975.5,31.640655258910854,SiU2,61513.21641283467,61681.63636363637,62081.757575757576,61401.551515151514,61481.57575757576,61081.454545454544,61441.56363636364,62015.07070707071,0.287964022122175
7,62315.16161616162,3669181.5,31.640655258910854,SiU2,62180.085099703356,62198.4595959596,62298.4898989899,62015.07070707071,62148.444444444445,61481.57575757576,62081.757575757576,62251.8803056438,0.6146430648579111
8,62882.0,0.0,31.640655258910854,SiU2,62346.80227142053,62485.21313131313,62825.31616161616,62251.8803056438,62315.16161616162,62148.444444444445,62298.4898989899,,0.2862175324644284
0,17369.0,0.0,14.16813776030653,GZU2,,,,,,,,13895.2,
1,17493.0,121686.5,14.16813776030653,GZU2,17383.168137760305,17406.2,17480.6,13895.2,17369.0,0,,17464.663724479386,0.9760372814414443
2,17555.0,117895.0,14.16813776030653,GZU2,17507.168137760305,17511.6,17548.8,17464.663724479386,17493.0,17369.0,17480.6,17526.663724479386,0.5315227483513688
3,17606.666666666668,117267.5,14.16813776030653,GZU2,17569.168137760305,17570.5,17601.5,17526.663724479386,17555.0,17493.0,17548.8,17578.330391146053,0.5768638818600377
4,17865.0,218062.0,14.16813776030653,GZU2,17620.834804426973,17684.166666666668,17839.166666666668,17578.330391146053,17606.666666666668,17555.0,17601.5,17813.333333333332,0.2843559403412179
5,17937.333333333332,176079.0,14.16813776030653,GZU2,17879.168137760305,17886.7,17930.1,17813.333333333332,17865.0,17606.666666666668,17839.166666666668,,0.5960668188423159
6,17978.666666666668,163182.0,14.16813776030653,GZU2,,,,,17937.333333333332,17865.0,17930.1,17950.330391146053,
7,18216.333333333332,153269.0,14.16813776030653,GZU2,17992.834804426973,18049.966666666667,18192.566666666666,17950.330391146053,17978.666666666668,17937.333333333332,,18168.8,0.2933926566036526
8,18392.0,0.0,14.16813776030653,GZU2,18230.501471093638,18269.033333333333,18374.433333333334,18168.8,18216.333333333332,17978.666666666668,18192.566666666666,,0.3937464850712526
0,59713.0,0.0,36.23846744679389,EuU2,,,,,,,,47770.4,
1,60268.47474747475,46020.0,36.23846744679389,EuU2,59749.23846744679,59879.642424242425,60212.92727272728,47770.4,59713.0,0,,60157.3797979798,0.9679738032195349
2,60650.36363636364,16828.0,36.23846744679389,EuU2,60304.71321492154,60383.041414141415,60612.17474747475,60157.3797979798,60268.47474747475,59713.0,60212.92727272728,60573.98585858586,0.41006945384680155
3,61171.121212121216,84664.0,36.23846744679389,EuU2,60686.60210381043,60806.59090909091,61119.045454545456,60573.98585858586,60650.36363636364,60268.47474747475,60612.17474747475,61066.9696969697,0.3166821557575324
4,61414.14141414141,79302.5,36.23846744679389,EuU2,61207.359679568006,61244.027272727275,61389.83939393939,61066.9696969697,61171.121212121216,60650.36363636364,61119.045454545456,61341.664479247826,0.4916032091820655
5,61969.61616161616,172711.5,36.23846744679389,EuU2,61450.379881588204,61580.78383838384,61914.06868686869,61341.664479247826,61414.14141414141,61171.121212121216,61389.83939393939,61858.52121212121,0.30383665672386373
6,62282.07070707071,229811.5,36.23846744679389,EuU2,62005.85462906295,62063.35252525253,62250.825252525254,61858.52121212121,61969.61616161616,61414.14141414141,61914.06868686869,,0.4488415792383451
7,62386.22222222222,241074.5,36.23846744679389,EuU2,,,,,62282.07070707071,61969.61616161616,62250.825252525254,62313.74528732863,
8,63150.0,0.0,36.23846744679389,EuU2,62422.46068966901,62615.35555555555,63073.62222222222,62313.74528732863,62386.22222222222,62282.07070707071,,,0.269994818716769
0,26.8,0.0,0.020952152811130144,AFLT,,,,,,,,21.44,
1,26.931515151515153,589819.5,0.020952152811130144,AFLT,26.82095215281113,26.839454545454547,26.918363636363637,21.44,26.8,0,,26.889610845892893,0.9839075510348346
2,27.012929292929293,1715861.5,0.020952152811130144,AFLT,26.952467304326284,26.955939393939396,27.00478787878788,26.889610845892893,26.931515151515153,26.8,26.918363636363637,26.971024987307032,0.5608106201072142
3,27.094343434343436,1272517.0,0.020952152811130144,AFLT,27.033881445740423,27.037353535353535,27.086202020202023,26.971024987307032,27.012929292929293,26.931515151515153,27.00478787878788,27.052439128721176,0.5608106201071968
4,27.194545454545455,1541060.5,0.020952152811130144,AFLT,27.115295587154566,27.12440404040404,27.184525252525255,27.052439128721176,27.094343434343436,27.012929292929293,27.086202020202023,,0.5103540259695802
5,27.250909090909094,1406354.0,0.020952152811130144,AFLT,,,,,27.194545454545455,27.094343434343436,27.184525252525255,27.209004785286833,
6,27.42,0.0,0.020952152811130144,AFLT,27.271861243720224,27.301636363636366,27.40309090909091,27.209004785286833,27.250909090909094,27.194545454545455,,,0.4005645373697084
0,19.84,0.0,0.016179669944091396,SVU2,,,,,,,,15.872,
1,19.89808080808081,18053.0,0.016179669944091396,SVU2,19.85617966994409,19.857424242424244,19.89227272727273,15.872,19.84,0,,19.86572146819263,0.9911770236760468
2,20.014242424242425,35854.0,0.016179669944091396,SVU2,19.9142604780249,19.932929292929295,20.002626262626265,19.86572146819263,19.89808080808081,19.84,19.89227272727273,19.981883084354244,0.42272746928905175
3,20.07232323232323,37379.0,0.016179669944091396,SVU2,20.030422094186516,20.031666666666666,20.06651515151515,19.981883084354244,20.014242424242425,19.89808080808081,20.002626262626265,20.03996389243505,0.5808826101208246
4,20.200101010101008,25474.0,0.016179669944091396,SVU2,20.088502902267322,20.110656565656566,20.18732323232323,20.03996389243505,20.07232323232323,20.014242424242425,20.06651515151515,20.167741670212827,0.4045609974375117
5,20.362727272727273,39982.0,0.016179669944091396,SVU2,20.2162806800451,20.24888888888889,20.346464646464646,20.167741670212827,20.200101010101008,20.07232323232323,20.18732323232323,20.33020202020202,0.36281353194791965
6,20.57181818181818,35980.5,0.016179669944091396,SVU2,20.378906942671364,20.425454545454546,20.55090909090909,20.33020202020202,20.362727272727273,20.200101010101008,20.346464646464646,,0.32612785639507547
7,20.618282828282826,37804.0,0.016179669944091396,SVU2,,,,,20.57181818181818,20.362727272727273,20.55090909090909,20.585923488394645,
